project,revision,path.method
deltaspike, 0d37c9e57060615c96ee56c4cb97989ca630d5c3,deltaspike/modules/jpa/impl/src/main/java/org/apache/deltaspike/jpa/impl/entitymanager/EntityManagerFactoryProducer.java#public_EntityManagerFactory_createEntityManagerFactoryForUnit(InjectionPoint);
deltaspike, d826c9686ca85a79b4e8f52beda4ab78b38bb680,deltaspike/core/api/src/main/java/org/apache/deltaspike/core/util/ClassDeactivationUtils.java#public_static_void_clearCache();public_static_boolean_isActivated(Class<? extends Deactivatable>);private_static_void_performProjectStageDependentCleanup();private_static_synchronized_void_initDeactivatableCacheFor(Class<? extends Deactivatable>; Map<Class<? extends Deactivatable>; Boolean>);private_static_void_cacheResult(Class<? extends Deactivatable>; Boolean; Map<Class<? extends Deactivatable>; Boolean>);private_static_List<ClassDeactivator>_getClassDeactivators();private_static_List<ClassDeactivator>_initConfiguredClassDeactivators(ClassLoader);
deltaspike, d826c9686ca85a79b4e8f52beda4ab78b38bb680,deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/config/ConfigurationExtension.java#protected_void_init(BeforeBeanDiscovery);public_static_void_registerConfigMBean();public_static_void_unRegisterConfigMBean(String);public_void_collectUserConfigSources(ProcessAnnotatedType<? extends PropertyFileConfig>);public_void_findDynamicConfigurationBeans(ProcessAnnotatedType<?>);public_void_findSources(ProcessBean<? extends ConfigSource>);public_void_findFilters(ProcessBean<? extends ConfigFilter>);public_void_findDynamicProducer(ProcessProducerMethod<?; DynamicBeanProducer>);public_void_collectDynamicTypes(ProcessBean<?>);public_void_addDynamicBeans(AfterBeanDiscovery; BeanManager);public_void_registerUserConfigSources(AfterBeanDiscovery);public_void_validateConfiguration(AfterDeploymentValidation);private_void_logConfiguration();private_void_addParentPropertyFileConfigs(ClassLoader; Set<Class<? extends PropertyFileConfig>>);public_void_freeConfigSources(BeforeShutdown);private_List<ConfigSource>_createPropertyConfigSource(Class<? extends PropertyFileConfig>);protected_void_processConfigurationValidation(AfterDeploymentValidation);public_Object_create(InjectionPoint);public_Set<Type>_getTypes();public_Set<Annotation>_getQualifiers();public_Class<?_extends_Annotation>_getScope();public_String_getName();public_boolean_isNullable();public_Set<InjectionPoint>_getInjectionPoints();public_Class<?>_getBeanClass();public_Set<Class<?_extends_Annotation>>_getStereotypes();public_boolean_isAlternative();public_T_create(CreationalContext<T>);public_void_destroy(T; CreationalContext<T>);
deltaspike, 19606ca588233676a6db64cb61b81f382014181d,deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/config/base/CoreBaseConfig.java#public_ViolationMode_convert(String);
deltaspike, 19606ca588233676a6db64cb61b81f382014181d,deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/provider/BeanManagerProvider.java#public_static_boolean_isActive();public_static_BeanManagerProvider_getInstance();public_void_setBeanManager(AfterBeanDiscovery; BeanManager);public_BeanManager_getBeanManager();public_void_cleanupFinalBeanManagers(AfterDeploymentValidation);public_void_cleanupStoredBeanManagerOnShutdown(BeforeShutdown);private_BeanManager_resolveBeanManagerViaJndi();private_BeanManager_resolveBeanManagerViaStaticHelper();private_BeanManagerInfo_getBeanManagerInfo(ClassLoader);private_static_BeanManagerProvider_setBeanManagerProvider(BeanManagerProvider);private_BeanManagerInfo_getParentBeanManagerInfo(ClassLoader);
deltaspike, 4d10c2f7fce34d380f92d5d89de97e0550eb40c3,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/exclude/ExcludeTestProjectStageWarFileDevelopment.java#public_static_WebArchive_deploy();public_static_void_resetProjectStage();
deltaspike, 4d10c2f7fce34d380f92d5d89de97e0550eb40c3,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/exclude/ExcludeWarFileTest.java#public_static_WebArchive_deploy();public_static_void_resetProjectStage();
deltaspike, 4d10c2f7fce34d380f92d5d89de97e0550eb40c3,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/exclude/uc001/EntityExcludeTest.java#public_static_WebArchive_deploy();public_static_void_resetProjectStage();public_void_entityWithoutExclusion();public_void_excludedEntity();public_void_excludedBaseClassWithoutInheritance();
deltaspike, 5383f44b117a31d9fc9fcd3c156e1e801e24aedd,deltaspike/modules/jsf/impl/src/main/java/org/apache/deltaspike/jsf/impl/scope/window/strategy/ClientSideWindowStrategy.java#protected_String_getOrCreateWindowId(FacesContext);protected_boolean_isNoscriptRequest(ExternalContext);protected_void_sendWindowHandlerHtml(ExternalContext; String);protected_String_getNoscriptUrl(ExternalContext);protected_String_getVerifiedWindowIdFromCookie(ExternalContext);protected_String_getRequestTokenParameter(ExternalContext);public_String_interceptRedirect(FacesContext; String);
deltaspike, 02e33e5125b995a184e7678f0938ad107e98cd2e,deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/provider/BeanManagerProvider.java#public_static_boolean_isActive();public_static_BeanManagerProvider_getInstance();public_void_setBeanManager(AfterBeanDiscovery; BeanManager);public_BeanManager_getBeanManager();public_void_cleanupFinalBeanManagers(AfterDeploymentValidation);public_void_cleanupStoredBeanManagerOnShutdown(BeforeShutdown);private_BeanManager_resolveBeanManagerViaJndi();private_BeanManager_resolveBeanManagerViaStaticHelper();private_BeanManagerInfo_getBeanManagerInfo(ClassLoader);private_static_BeanManagerProvider_setBeanManagerProvider(BeanManagerProvider);private_BeanManagerInfo_getParentBeanManagerInfo(ClassLoader);
