project,revision,path.method
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/CommandCodeGenerator.java#public_abstract_void_generate(PrintWriter);protected_void_generateLicence(PrintWriter);public_boolean_isGenIsClass();public_void_setGenIsClass(boolean);public_boolean_isComparable();public_void_setComparable(boolean);public_boolean_isHashable();public_void_setHashable(boolean);public_boolean_isAssignable();public_void_setAssignable(boolean);public_JClass_getJClass();public_void_setJClass(JClass);public_List<JProperty>_getProperties();public_void_setProperties(List<JProperty>);public_boolean_isMarshalAware();public_void_setMarshalAware(boolean);public_String_getClassName();public_void_setClassName(String);public_String_getBaseClassName();public_void_setBaseClassName(String);public_Set<String>_getIncludeFiles();public_void_setIncludeFiles(Set<String>);public_Set<String>_getBaseClasses();public_void_setBaseClasses(Set<String>);public_String_getOpenWireOpCode();public_void_setOpenWireOpCode(String);protected_String_toHeaderFileName(JClass);protected_String_toCppType(JClass);protected_String_toCppDefaultValue(JClass);protected_String_decapitalize(String);protected_String_capitalize(String);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/CommandCodeGeneratorsFactory.java#public_CommandCodeGenerator_getHeaderGenerator(String);public_CommandCodeGenerator_getSourceGenerator(String);public_CommandCodeGenerator_getCodeGenerator(String; String);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/CommandHeaderGenerator.java#public_void_generate(PrintWriter);protected_void_populateIncludeFilesSet();protected_void_populateBaseClassesSet();protected_void_generateNamespaceWrapper(PrintWriter);protected_void_generateForwardDeclarations(PrintWriter);protected_void_generateClassDefinition(PrintWriter);protected_void_generateProperties(PrintWriter);protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateAdditonalMembers(PrintWriter);protected_void_generatePropertyAccessors(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/CommandSourceGenerator.java#public_void_generate(PrintWriter);protected_void_populateIncludeFilesSet();protected_void_populateBaseClassesSet();protected_void_generateDefaultConstructorBody(PrintWriter);protected_String_generateInitializerList();protected_void_generateDestructorBody(PrintWriter);protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateCloneDataStructureBody(PrintWriter);protected_void_generateCopyDataStructureBody(PrintWriter);protected_void_generateToStringBody(PrintWriter);protected_void_generateEqualsBody(PrintWriter);protected_void_generatePropertyAccessors(PrintWriter);protected_void_generateCompareToBody(PrintWriter);protected_void_generateAdditionalMethods(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/ConnectionIdHeaderGenerator.java#protected_void_generateForwardDeclarations(PrintWriter);protected_void_generateAdditionalConstructors(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/ConnectionIdSourceGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateToStringBody(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/ConnectionInfoSourceGenerator.java#protected_void_generateAdditionalMethods(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/ConsumerIdHeaderGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateProperties(PrintWriter);protected_void_generateAdditonalMembers(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/ConsumerIdSourceGenerator.java#protected_void_generateAdditionalConstructors(PrintWriter);protected_String_generateInitializerList();protected_void_generateAdditionalMethods(PrintWriter);protected_void_populateIncludeFilesSet();protected_void_generateToStringBody(PrintWriter);
amqcpp, 774d9941acb28d38a7639c51fb0f42eef459ce2b,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/ConsumerInfoSourceGenerator.java#protected_void_generateAdditionalMethods(PrintWriter);
