project,ticketid,fixcommitid,line,bugcommitid,buggymethod,
marmotta,"MARMOTTA-139","06aa84e793b4a1cfa8d082ca1723d4309fcb6725",183,c32963d5a7842b50772557f51c2c1cef43f191b2,lmf-core/src/main/java/kiwi/core/services/config/ConfigurationServiceImpl.java#public_void_initialize(String; Configuration)
marmotta,"MARMOTTA-139","06aa84e793b4a1cfa8d082ca1723d4309fcb6725",184,c32963d5a7842b50772557f51c2c1cef43f191b2,lmf-core/src/main/java/kiwi/core/services/config/ConfigurationServiceImpl.java#public_void_initialize(String; Configuration)
marmotta,"MARMOTTA-139","06aa84e793b4a1cfa8d082ca1723d4309fcb6725",164,c32963d5a7842b50772557f51c2c1cef43f191b2,lmf-core/src/main/java/kiwi/core/services/config/ConfigurationServiceImpl.java#public_void_initialize(String; Configuration)
marmotta,"MARMOTTA-139","06aa84e793b4a1cfa8d082ca1723d4309fcb6725",189,c32963d5a7842b50772557f51c2c1cef43f191b2,lmf-core/src/main/java/kiwi/core/services/config/ConfigurationServiceImpl.java#public_void_initialize(String; Configuration)
marmotta,"MARMOTTA-139","06aa84e793b4a1cfa8d082ca1723d4309fcb6725",190,c32963d5a7842b50772557f51c2c1cef43f191b2,lmf-core/src/main/java/kiwi/core/services/config/ConfigurationServiceImpl.java#public_void_initialize(String; Configuration)
marmotta,"MARMOTTA-139","06aa84e793b4a1cfa8d082ca1723d4309fcb6725",191,c32963d5a7842b50772557f51c2c1cef43f191b2,lmf-core/src/main/java/kiwi/core/services/config/ConfigurationServiceImpl.java#public_void_initialize(String; Configuration)
marmotta,"MARMOTTA-139","06aa84e793b4a1cfa8d082ca1723d4309fcb6725",192,c32963d5a7842b50772557f51c2c1cef43f191b2,lmf-core/src/main/java/kiwi/core/services/config/ConfigurationServiceImpl.java#public_void_initialize(String; Configuration)
marmotta,"MARMOTTA-139","06aa84e793b4a1cfa8d082ca1723d4309fcb6725",195,c32963d5a7842b50772557f51c2c1cef43f191b2,lmf-core/src/main/java/kiwi/core/services/config/ConfigurationServiceImpl.java#public_void_initialize(String; Configuration)
marmotta,"MARMOTTA-139","06aa84e793b4a1cfa8d082ca1723d4309fcb6725",196,c32963d5a7842b50772557f51c2c1cef43f191b2,lmf-core/src/main/java/kiwi/core/services/config/ConfigurationServiceImpl.java#public_void_initialize(String; Configuration)
marmotta,"MARMOTTA-139","06aa84e793b4a1cfa8d082ca1723d4309fcb6725",197,c32963d5a7842b50772557f51c2c1cef43f191b2,lmf-core/src/main/java/kiwi/core/services/config/ConfigurationServiceImpl.java#public_void_initialize(String; Configuration)
marmotta,"MARMOTTA-139","06aa84e793b4a1cfa8d082ca1723d4309fcb6725",198,c32963d5a7842b50772557f51c2c1cef43f191b2,lmf-core/src/main/java/kiwi/core/services/config/ConfigurationServiceImpl.java#public_void_initialize(String; Configuration)
